note(canal, nota, intensidade), tick
note_off(3, 62, 64), 17952
note_on(3, 74, 100.0), 17952
note_off(3, 74, 64), 18000
note_on(3, 74, 100.0), 18000
note_off(3, 74, 64), 18048
note_on(3, 62, 100.0), 18048
note_off(3, 62, 64), 18096
note_on(3, 62, 100.0), 18096
note_off(3, 62, 64), 18144
note_on(3, 74, 100.0), 18144
note_off(3, 74, 64), 18192
note_on(3, 74, 100.0), 18192
note_off(3, 74, 64), 18240
note_on(3, 62, 100.0), 18240
note_off(3, 62, 64), 18288
note_on(3, 62, 100.0), 18288
note_off(3, 62, 64), 18336
note_on(3, 74, 100.0), 18336
note_off(3, 74, 64), 18384
note_on(3, 74, 100.0), 18384
note_off(3, 74, 64), 18432
note_on(3, 62, 100.0), 18432
note_off(3, 62, 64), 18480
note_on(3, 62, 100.0), 18480
note_off(3, 62, 64), 18528
note_on(3, 74, 100.0), 18528
note_off(3, 74, 64), 18576
note_on(3, 74, 100.0), 18576
note_off(3, 74, 64), 18624
note_on(3, 62, 100.0), 18624
note_off(3, 62, 64), 18672
note_on(3, 62, 100.0), 18672
note_off(3, 62, 64), 18720
note_on(3, 74, 100.0), 18720
note_off(3, 74, 64), 18768
note_on(3, 74, 100.0), 18768
note_off(3, 74, 64), 18816
note_on(3, 62, 100.0), 18816
note_off(3, 62, 64), 18864
note_on(3, 62, 100.0), 18864
note_off(3, 62, 64), 18912
note_on(3, 74, 100.0), 18912
note_off(3, 74, 64), 18960
note_on(3, 74, 100.0), 18960
note_off(3, 74, 64), 19008
note_on(3, 62, 100.0), 19008
note_off(3, 62, 64), 19056
note_on(3, 62, 100.0), 19056
note_off(3, 62, 64), 19104
note_on(3, 74, 100.0), 19104
note_off(3, 74, 64), 19152
note_on(3, 74, 100.0), 19152
note_off(3, 74, 64), 19200
note_on(3, 62, 100.0), 19200
note_off(3, 62, 64), 19248
note_on(3, 62, 100.0), 19248
note_off(3, 62, 64), 19296
note_on(3, 74, 100.0), 19296
note_off(3, 74, 64), 19344
note_on(3, 74, 100.0), 19344
note_off(3, 74, 64), 19392
note_on(3, 62, 100.0), 19392
note_off(3, 62, 64), 19440
note_on(3, 62, 100.0), 19440
note_off(3, 62, 64), 19488
note_on(3, 74, 100.0), 19488
note_off(3, 74, 64), 19536
note_on(3, 74, 100.0), 19536
note_off(3, 74, 64), 19584
note_on(3, 62, 100.0), 19584
note_off(3, 62, 64), 19632
note_on(3, 62, 100.0), 19632
note_off(3, 62, 64), 19680
note_on(3, 74, 100.0), 19680
note_off(3, 74, 64), 19728
note_on(3, 74, 100.0), 19728
note_off(3, 74, 64), 19776
note_on(3, 62, 100.0), 19776
note_off(3, 62, 64), 19824
note_on(3, 62, 100.0), 19824
note_off(3, 62, 64), 19872
note_on(3, 74, 100.0), 19872
note_off(3, 74, 64), 19920
note_on(3, 74, 100.0), 19920
note_off(3, 74, 64), 19968
note_on(3, 62, 100.0), 19968
note_off(3, 62, 64), 20016
note_on(3, 62, 100.0), 20016
note_off(3, 62, 64), 20064
note_on(3, 74, 100.0), 20064
note_off(3, 74, 64), 20112
note_on(3, 74, 100.0), 20112
note_off(3, 74, 64), 20160
note_on(3, 62, 100.0), 20160
note_off(3, 62, 64), 20208
note_on(3, 62, 100.0), 20208
note_off(3, 62, 64), 20256
note_on(3, 74, 100.0), 20256
note_off(3, 74, 64), 20304
note_on(3, 74, 100.0), 20304
note_off(3, 74, 64), 20352
note_on(3, 62, 100.0), 20352
note_off(3, 62, 64), 20400
note_on(3, 62, 100.0), 20400
note_off(3, 62, 64), 20448
note_on(3, 74, 100.0), 20448
note_off(3, 74, 64), 20496
note_on(3, 74, 100.0), 20496
note_off(3, 74, 64), 20544
note_on(3, 62, 100.0), 20544
note_off(3, 62, 64), 20592
note_on(3, 62, 100.0), 20592
note_off(3, 62, 64), 20640
note_on(3, 74, 100.0), 20640
note_off(3, 74, 64), 20688
note_on(3, 74, 100.0), 20688
note_off(3, 74, 64), 20736
note_on(3, 62, 100.0), 28416
note_off(3, 62, 64), 28464
note_on(3, 62, 100.0), 28464
note_off(3, 62, 64), 28512
note_on(3, 74, 100.0), 28512
note_off(3, 74, 64), 28560
note_on(3, 74, 100.0), 28560
note_off(3, 74, 64), 28608
note_on(3, 62, 100.0), 28608
note_off(3, 62, 64), 28656
note_on(3, 62, 100.0), 28656
note_off(3, 62, 64), 28704
note_on(3, 74, 100.0), 28704
note_off(3, 74, 64), 28752
note_on(3, 74, 100.0), 28752
note_off(3, 74, 64), 28800
note_on(3, 62, 100.0), 28800
note_off(3, 62, 64), 28848
note_on(3, 62, 100.0), 28848
note_off(3, 62, 64), 28896
note_on(3, 74, 100.0), 28896
note_off(3, 74, 64), 28944
note_on(3, 74, 100.0), 28944
note_off(3, 74, 64), 28992
note_on(3, 62, 100.0), 28992
note_off(3, 62, 64), 29040
note_on(3, 62, 100.0), 29040
note_off(3, 62, 64), 29088
note_on(3, 74, 100.0), 29088
note_off(3, 74, 64), 29136
note_on(3, 74, 100.0), 29136
note_off(3, 74, 64), 29184
note_on(3, 62, 100.0), 29184
note_off(3, 62, 64), 29232
note_on(3, 62, 100.0), 29232
note_off(3, 62, 64), 29280
note_on(3, 74, 100.0), 29280
note_off(3, 74, 64), 29328
note_on(3, 74, 100.0), 29328
note_off(3, 74, 64), 29376
note_on(3, 62, 100.0), 29376
note_off(3, 62, 64), 29424
note_on(3, 62, 100.0), 29424
note_off(3, 62, 64), 29472
note_on(3, 74, 100.0), 29472
note_off(3, 74, 64), 29520
note_on(3, 74, 100.0), 29520
note_off(3, 74, 64), 29568
note_on(3, 62, 100.0), 29568
note_off(3, 62, 64), 29616
note_on(3, 62, 100.0), 29616
note_off(3, 62, 64), 29664
note_on(3, 74, 100.0), 29664
note_off(3, 74, 64), 29712
note_on(3, 74, 100.0), 29712
note_off(3, 74, 64), 29760
